Farming implementation started at 2025-03-08 11:04:52
Using XP formula: 20 + (farmingLevel * 5)
Processing silentgear
potted_netherwood_sapling - Farming Level: 0, XP: 20
ryeseeditem - Farming Level: 0, XP: 20
onionseeditem - Farming Level: 0, XP: 20
peasseeditem - Farming Level: 0, XP: 20
cauliflowerseeditem - Farming Level: 0, XP: 20
sweetpotatoseeditem - Farming Level: 0, XP: 20
spiceleafseeditem - Farming Level: 0, XP: 20
shadedgarden - Farming Level: 0, XP: 20
calabashseeditem - Farming Level: 0, XP: 20
chilipepperitem - Farming Level: 0, XP: 20
wolfberryitem - Farming Level: 0, XP: 20
beanitem - Farming Level: 0, XP: 20
cranberryitem - Farming Level: 0, XP: 20
oatsseeditem - Farming Level: 0, XP: 20
huckleberryitem - Farming Level: 0, XP: 20
strawberryitem - Farming Level: 0, XP: 20
whitemushroomitem - Farming Level: 0, XP: 20
wolfberryseeditem - Farming Level: 0, XP: 20
jicamaseeditem - Farming Level: 0, XP: 20
guaranaseeditem - Farming Level: 0, XP: 20
kenafseeditem - Farming Level: 0, XP: 20
waterchestnutseeditem - Farming Level: 0, XP: 20
juniperberryseeditem - Farming Level: 0, XP: 20
yuccaseeditem - Farming Level: 0, XP: 20
tomatilloitem - Farming Level: 0, XP: 20
cloudberryseeditem - Farming Level: 0, XP: 20
scallionseeditem - Farming Level: 0, XP: 20
parsnipseeditem - Farming Level: 0, XP: 20
tomatilloseeditem - Farming Level: 0, XP: 20
sisalseeditem - Farming Level: 0, XP: 20
greengrapeseeditem - Farming Level: 0, XP: 20
sunchokeseeditem - Farming Level: 0, XP: 20
cantaloupeseeditem - Farming Level: 0, XP: 20
caulifloweritem - Farming Level: 0, XP: 20
juniperberryitem - Farming Level: 0, XP: 20
blackberryitem - Farming Level: 0, XP: 20
okraseeditem - Farming Level: 0, XP: 20
windygarden - Farming Level: 0, XP: 20
candleberryitem - Farming Level: 0, XP: 20
nopalesseeditem - Farming Level: 0, XP: 20
quinoaseeditem - Farming Level: 0, XP: 20
gingerseeditem - Farming Level: 0, XP: 20
papyrusseeditem - Farming Level: 0, XP: 20
tomatoseeditem - Farming Level: 0, XP: 20
raspberryseeditem - Farming Level: 0, XP: 20
brusselsproutseeditem - Farming Level: 0, XP: 20
rhubarbseeditem - Farming Level: 0, XP: 20
cabbageitem - Farming Level: 0, XP: 20
coffeebeanitem - Farming Level: 0, XP: 20
garlicitem - Farming Level: 0, XP: 20
sweetpotatoitem - Farming Level: 0, XP: 20
barrelcactusseeditem - Farming Level: 0, XP: 20
mulberryseeditem - Farming Level: 0, XP: 20
leekseeditem - Farming Level: 0, XP: 20
barrelcactusitem - Farming Level: 0, XP: 20
candleberryseeditem - Farming Level: 0, XP: 20
truffleseeditem - Farming Level: 0, XP: 20
elderberryitem - Farming Level: 0, XP: 20
arrowrootseeditem - Farming Level: 0, XP: 20
kiwiseeditem - Farming Level: 0, XP: 20
cottonseeditem - Farming Level: 0, XP: 20
lettuceitem - Farming Level: 0, XP: 20
blueberryitem - Farming Level: 0, XP: 20
sesameseedsseeditem - Farming Level: 0, XP: 20
mustardseedsitem - Farming Level: 0, XP: 20
tropicalgarden - Farming Level: 0, XP: 20
aloeseeditem - Farming Level: 0, XP: 20
bellpepperitem - Farming Level: 0, XP: 20
agaveseeditem - Farming Level: 0, XP: 20
garlicseeditem - Farming Level: 0, XP: 20
roastedmushroomitem - Farming Level: 0, XP: 20
spinachseeditem - Farming Level: 0, XP: 20
aridgarden - Farming Level: 0, XP: 20
bellpepperseeditem - Farming Level: 0, XP: 20
juteseeditem - Farming Level: 0, XP: 20
lotusseeditem - Farming Level: 0, XP: 20
wintersquashseeditem - Farming Level: 0, XP: 20
mustardseedsseeditem - Farming Level: 0, XP: 20
strawberryseeditem - Farming Level: 0, XP: 20
blackberryseeditem - Farming Level: 0, XP: 20
canolaseeditem - Farming Level: 0, XP: 20
huckleberryseeditem - Farming Level: 0, XP: 20
nettlesseeditem - Farming Level: 0, XP: 20
cottonitem - Farming Level: 0, XP: 20
raspberryitem - Farming Level: 0, XP: 20
zucchiniseeditem - Farming Level: 0, XP: 20
grapeseeditem - Farming Level: 0, XP: 20
peanutseeditem - Farming Level: 0, XP: 20
cactusfruititem - Farming Level: 0, XP: 20
rutabagaseeditem - Farming Level: 0, XP: 20
eggplantseeditem - Farming Level: 0, XP: 20
barleyseeditem - Farming Level: 0, XP: 20
soggygarden - Farming Level: 0, XP: 20
pineappleseeditem - Farming Level: 0, XP: 20
lentilseeditem - Farming Level: 0, XP: 20
elderberryseeditem - Farming Level: 0, XP: 20
bakedsweetpotatoitem - Farming Level: 0, XP: 20
sesameseedsitem - Farming Level: 0, XP: 20
tomatoitem - Farming Level: 0, XP: 20
asparagusseeditem - Farming Level: 0, XP: 20
sorghumseeditem - Farming Level: 0, XP: 20
beanseeditem - Farming Level: 0, XP: 20
Processing twilightforest
potted_rainbow_oak_sapling - Farming Level: 0, XP: 20
darkwood_sapling - Farming Level: 0, XP: 20
mangrove_sapling - Farming Level: 0, XP: 20
potted_canopy_sapling - Farming Level: 0, XP: 20
piglin_skull_candle - Farming Level: 0, XP: 20
torchberry_plant - Farming Level: 0, XP: 20
potted_hollow_oak_sapling - Farming Level: 0, XP: 20
potted_time_sapling - Farming Level: 0, XP: 20
sorting_sapling - Farming Level: 100, XP: 520
potted_twilight_oak_sapling - Farming Level: 0, XP: 20
bamboo_banister - Farming Level: 0, XP: 20
transformation_sapling - Farming Level: 0, XP: 20
canopy_sapling - Farming Level: 0, XP: 20
time_sapling - Farming Level: 0, XP: 20
potted_sorting_sapling - Farming Level: 100, XP: 520
rainbow_oak_sapling - Farming Level: 0, XP: 20
beanstalk_leaves - Farming Level: 0, XP: 20
mining_sapling - Farming Level: 0, XP: 20
hollow_oak_sapling - Farming Level: 0, XP: 20
twilight_oak_sapling - Farming Level: 0, XP: 20
potted_mining_sapling - Farming Level: 0, XP: 20
potted_mangrove_sapling - Farming Level: 0, XP: 20
beanstalk_grower - Farming Level: 0, XP: 20
potted_darkwood_sapling - Farming Level: 0, XP: 20
potted_transformation_sapling - Farming Level: 0, XP: 20
darkwood_sapling - Farming Level: 0, XP: 20
mangrove_sapling - Farming Level: 0, XP: 20
slime_beetle_spawn_egg - Farming Level: 0, XP: 20
ironwood_hoe - Farming Level: 200, XP: 1020
fire_beetle_spawn_egg - Farming Level: 0, XP: 20
torchberry_plant - Farming Level: 0, XP: 20
magic_beans - Farming Level: 0, XP: 20
penguin_spawn_egg - Farming Level: 0, XP: 20
piglin_skull_candle - Farming Level: 0, XP: 20
steeleaf_hoe - Farming Level: 200, XP: 1020
transformation_sapling - Farming Level: 0, XP: 20
bighorn_sheep_spawn_egg - Farming Level: 0, XP: 20
canopy_sapling - Farming Level: 0, XP: 20
time_sapling - Farming Level: 0, XP: 20
mining_sapling - Farming Level: 0, XP: 20
beanstalk_leaves - Farming Level: 0, XP: 20
bamboo_banister - Farming Level: 0, XP: 20
rainbow_oak_sapling - Farming Level: 0, XP: 20
hollow_oak_sapling - Farming Level: 0, XP: 20
dwarf_rabbit_spawn_egg - Farming Level: 0, XP: 20
twilight_oak_sapling - Farming Level: 0, XP: 20
pinch_beetle_spawn_egg - Farming Level: 0, XP: 20
sorting_sapling - Farming Level: 100, XP: 520
Processing the_bumblezone
crystalline_flower - Farming Level: 0, XP: 20
luminescent_wax_corner_blue - Farming Level: 0, XP: 20
luminescent_wax_corner_yellow - Farming Level: 0, XP: 20
luminescent_wax_corner_green - Farming Level: 0, XP: 20
luminescent_wax_corner_red - Farming Level: 0, XP: 20
luminescent_wax_corner_white - Farming Level: 0, XP: 20
luminescent_wax_corner - Farming Level: 0, XP: 20
beehive_beeswax - Farming Level: 0, XP: 20
luminescent_wax_corner_purple - Farming Level: 0, XP: 20
bee_bread - Farming Level: 0, XP: 20
music_disc_bee_laxing_with_the_hom_bees - Farming Level: 0, XP: 20
essence_of_the_bees - Farming Level: 100, XP: 520
banner_pattern_bee - Farming Level: 0, XP: 20
bumble_bee_chestplate_trans_2 - Farming Level: 0, XP: 20
bee_cannon - Farming Level: 0, XP: 20
bumble_bee_chestplate_trans_1 - Farming Level: 0, XP: 20
stingless_bee_helmet_2 - Farming Level: 100, XP: 520
luminescent_wax_corner_red - Farming Level: 0, XP: 20
luminescent_wax_corner_blue - Farming Level: 0, XP: 20
luminescent_wax_corner - Farming Level: 0, XP: 20
bee_soup - Farming Level: 0, XP: 20
crystalline_flower - Farming Level: 0, XP: 20
bumble_bee_chestplate_2 - Farming Level: 0, XP: 20
luminescent_wax_corner_yellow - Farming Level: 0, XP: 20
carvable_wax_flower - Farming Level: 0, XP: 20
bee_queen_spawn_egg - Farming Level: 0, XP: 20
bumble_bee_chestplate_1 - Farming Level: 0, XP: 20
luminescent_wax_corner_green - Farming Level: 0, XP: 20
music_disc_flight_of_the_bumblebee_rimsky_korsakov - Farming Level: 0, XP: 20
carpenter_bee_boots_1 - Farming Level: 0, XP: 20
honey_bee_leggings_2 - Farming Level: 0, XP: 20
music_disc_la_bee_da_loca - Farming Level: 0, XP: 20
beehemoth_spawn_egg - Farming Level: 0, XP: 20
stingless_bee_helmet_1 - Farming Level: 100, XP: 520
beehive_beeswax - Farming Level: 0, XP: 20
luminescent_wax_corner_white - Farming Level: 0, XP: 20
carpenter_bee_boots_2 - Farming Level: 0, XP: 20
variant_bee_spawn_egg - Farming Level: 0, XP: 20
music_disc_beenna_box - Farming Level: 0, XP: 20
music_disc_bee_ware_of_the_temple - Farming Level: 0, XP: 20
luminescent_wax_corner_purple - Farming Level: 0, XP: 20
flower_headwear - Farming Level: 0, XP: 20
bee_stinger - Farming Level: 100, XP: 520
music_disc_honey_bee_rat_faced_boy - Farming Level: 0, XP: 20
honey_bee_leggings_1 - Farming Level: 0, XP: 20
Processing pneumaticcraft
vegetable_oil - Farming Level: 0, XP: 20
thermopneumatic_processing_plant - Farming Level: 0, XP: 20
thermopneumatic_processing_plant - Farming Level: 0, XP: 20
crop_support - Farming Level: 0, XP: 20
wheat_flour - Farming Level: 0, XP: 20
vegetable_oil_bucket - Farming Level: 0, XP: 20
dispenser_upgrade - Farming Level: 0, XP: 20
harvesting_drone - Farming Level: 100, XP: 520
Processing refurbished_furniture
sweet_berry_jam - Farming Level: 0, XP: 20
raw_vegetable_pizza - Farming Level: 0, XP: 20
sweet_berry_jam_toast - Farming Level: 0, XP: 20
wheat_flour - Farming Level: 0, XP: 20
cooked_vegetable_pizza - Farming Level: 0, XP: 20
glow_berry_jam - Farming Level: 0, XP: 20
vegetable_pizza_slice - Farming Level: 0, XP: 20
glow_berry_jam_toast - Farming Level: 0, XP: 20
Processing occultism
potted_otherflower - Farming Level: 0, XP: 20
otherflower - Farming Level: 0, XP: 20
otherflower_natural - Farming Level: 0, XP: 20
otherworld_sapling - Farming Level: 0, XP: 20
otherworld_sapling_natural - Farming Level: 0, XP: 20
pentacle_summon - Farming Level: 0, XP: 20
otherworld_sapling_natural - Farming Level: 0, XP: 20
otherflower - Farming Level: 0, XP: 20
datura_seeds - Farming Level: 0, XP: 20
otherflower_natural - Farming Level: 0, XP: 20
pentacle_misc - Farming Level: 0, XP: 20
otherworld_sapling - Farming Level: 0, XP: 20
pentacle_craft - Farming Level: 0, XP: 20
pentacle_possess - Farming Level: 0, XP: 20
Processing rootsclassic
grower_standing_stone - Farming Level: 100, XP: 520
growth_powder - Farming Level: 0, XP: 20
living_hoe - Farming Level: 0, XP: 20
elderberry - Farming Level: 0, XP: 20
fruit_salad - Farming Level: 0, XP: 20
grower_standing_stone - Farming Level: 100, XP: 520
Processing eternal_starlight
starlight_mangrove_sapling - Farming Level: 0, XP: 20
lunar_sapling - Farming Level: 0, XP: 20
potted_torreya_sapling - Farming Level: 0, XP: 20
nightfall_farmland - Farming Level: 100, XP: 520
potted_withered_starlight_flower - Farming Level: 0, XP: 20
lunaris_cactus_gel_block - Farming Level: 0, XP: 20
orbflora_plant - Farming Level: 0, XP: 20
jinglestem_leaves_plant - Farming Level: 0, XP: 20
starlight_torchflower - Farming Level: 0, XP: 20
hanging_fantagrass_plant - Farming Level: 0, XP: 20
potted_aureate_flower - Farming Level: 0, XP: 20
potted_jinglestem_sapling - Farming Level: 0, XP: 20
glowing_mushroom - Farming Level: 0, XP: 20
aureate_flower - Farming Level: 0, XP: 20
red_velvetumoss_flower - Farming Level: 0, XP: 20
potted_starlight_torchflower - Farming Level: 0, XP: 20
potted_red_velvetumoss_flower - Farming Level: 0, XP: 20
small_night_sprouts - Farming Level: 0, XP: 20
glowing_night_sprouts - Farming Level: 0, XP: 20
torreya_sapling - Farming Level: 0, XP: 20
lumenstem_plant - Farming Level: 0, XP: 20
scarlet_sapling - Farming Level: 0, XP: 20
glowing_mushroom_block - Farming Level: 0, XP: 20
night_sprouts - Farming Level: 0, XP: 20
berries_vines_plant - Farming Level: 0, XP: 20
cave_moss_plant - Farming Level: 0, XP: 20
starlight_flower - Farming Level: 0, XP: 20
potted_starlight_flower - Farming Level: 0, XP: 20
carved_lunaris_cactus_fruit - Farming Level: 0, XP: 20
bouldershroom_roots_plant - Farming Level: 0, XP: 20
glowing_mushroom_stem - Farming Level: 0, XP: 20
potted_scarlet_sapling - Farming Level: 0, XP: 20
potted_northland_sapling - Farming Level: 0, XP: 20
potted_glowing_mushroom - Farming Level: 0, XP: 20
spiral_kelp_plant - Farming Level: 0, XP: 20
withered_starlight_flower - Farming Level: 0, XP: 20
potted_starlight_mangrove_sapling - Farming Level: 0, XP: 20
abyssal_kelp_plant - Farming Level: 0, XP: 20
jinglestem_sapling - Farming Level: 0, XP: 20
small_glowing_night_sprouts - Farming Level: 0, XP: 20
northland_sapling - Farming Level: 0, XP: 20
lunaris_cactus - Farming Level: 0, XP: 20
torreya_vines_plant - Farming Level: 0, XP: 20
potted_lunar_sapling - Farming Level: 0, XP: 20
starlight_mangrove_sapling - Farming Level: 0, XP: 20
lunar_sapling - Farming Level: 0, XP: 20
starlight_torchflower - Farming Level: 0, XP: 20
nightfall_farmland - Farming Level: 100, XP: 520
lunaris_cactus_gel_block - Farming Level: 0, XP: 20
withered_starlight_flower - Farming Level: 0, XP: 20
luminofish_spawn_egg - Farming Level: 0, XP: 20
glowing_mushroom - Farming Level: 0, XP: 20
aureate_flower - Farming Level: 0, XP: 20
red_velvetumoss_flower - Farming Level: 0, XP: 20
small_night_sprouts - Farming Level: 0, XP: 20
glowing_night_sprouts - Farming Level: 0, XP: 20
torreya_sapling - Farming Level: 0, XP: 20
amaramber_hoe - Farming Level: 0, XP: 20
glowing_mushroom_block - Farming Level: 0, XP: 20
night_sprouts - Farming Level: 0, XP: 20
luminofish_bucket - Farming Level: 0, XP: 20
scarlet_sapling - Farming Level: 0, XP: 20
glacite_hoe - Farming Level: 0, XP: 20
carved_lunaris_cactus_fruit - Farming Level: 0, XP: 20
starlight_flower - Farming Level: 0, XP: 20
lunaris_cactus_gel - Farming Level: 0, XP: 20
glowing_mushroom_stem - Farming Level: 0, XP: 20
cooked_luminofish - Farming Level: 0, XP: 20
lunaris_cactus_fruit - Farming Level: 0, XP: 20
thermal_springstone_hoe - Farming Level: 100, XP: 520
luminofish - Farming Level: 0, XP: 20
jinglestem_sapling - Farming Level: 0, XP: 20
small_glowing_night_sprouts - Farming Level: 0, XP: 20
northland_sapling - Farming Level: 0, XP: 20
lunaris_cactus - Farming Level: 0, XP: 20
abyssal_fruit - Farming Level: 0, XP: 20
Processing pamhc2foodcore
groundfishitem - Farming Level: 0, XP: 20
potatosoupitem - Farming Level: 0, XP: 20
carrotbreaditem - Farming Level: 0, XP: 20
rabbitpotpieitem - Farming Level: 0, XP: 20
melonjellytoastitem - Farming Level: 0, XP: 20
melondonutitem - Farming Level: 0, XP: 20
sweetberrydonutitem - Farming Level: 0, XP: 20
cookedgroundbeefitem - Farming Level: 0, XP: 20
fishandchipsitem - Farming Level: 0, XP: 20
cookedgroundrabbititem - Farming Level: 0, XP: 20
cottoncandyitem - Farming Level: 0, XP: 20
fishpotpieitem - Farming Level: 0, XP: 20
pumpkinyogurtitem - Farming Level: 0, XP: 20
potatochipsitem - Farming Level: 0, XP: 20
carrotjuiceitem - Farming Level: 0, XP: 20
bakedvegetablemedlyitem - Farming Level: 0, XP: 20
freshmilkitem - Farming Level: 0, XP: 20
sweetberryjellytoastitem - Farming Level: 0, XP: 20
grilledbeefskeweritem - Farming Level: 0, XP: 20
beefpotpieitem - Farming Level: 0, XP: 20
groundbeefitem - Farming Level: 0, XP: 20
sweetberryjuiceitem - Farming Level: 0, XP: 20
pumpkinsoupitem - Farming Level: 0, XP: 20
chickenpotpieitem - Farming Level: 0, XP: 20
glowberrymuffinitem - Farming Level: 0, XP: 20
cocoapowderitem - Farming Level: 0, XP: 20
grilledfishskeweritem - Farming Level: 0, XP: 20
beefnoodlesoupitem - Farming Level: 0, XP: 20
fruitpunchitem - Farming Level: 0, XP: 20
butteredbakedpotatoitem - Farming Level: 0, XP: 20
melonpieitem - Farming Level: 0, XP: 20
groundchickenitem - Farming Level: 0, XP: 20
friedchickenitem - Farming Level: 0, XP: 20
cookedgroundfishitem - Farming Level: 0, XP: 20
chickennuggetitem - Farming Level: 0, XP: 20
sweetberryyogurtitem - Farming Level: 0, XP: 20
sweetberryjellyitem - Farming Level: 0, XP: 20
roastedsunflowerseedsitem - Farming Level: 0, XP: 20
glowberrydonutitem - Farming Level: 0, XP: 20
chickendinneritem - Farming Level: 0, XP: 20
chocolatemilkitem - Farming Level: 0, XP: 20
cookiesandmilkitem - Farming Level: 0, XP: 20
glowberryjuiceitem - Farming Level: 0, XP: 20
sunflowerseedsitem - Farming Level: 0, XP: 20
pickledbeetsitem - Farming Level: 0, XP: 20
carrotpieitem - Farming Level: 0, XP: 20
basicfishsandwichitem - Farming Level: 0, XP: 20
glowberryjellytoastitem - Farming Level: 0, XP: 20
fruitsaladitem - Farming Level: 0, XP: 20
carrotsoupitem - Farming Level: 0, XP: 20
melonjellyitem - Farming Level: 0, XP: 20
grilledrabbitskeweritem - Farming Level: 0, XP: 20
glowberrysmoothieitem - Farming Level: 0, XP: 20
fishsticksitem - Farming Level: 0, XP: 20
chickenjerkyitem - Farming Level: 0, XP: 20
groundrabbititem - Farming Level: 0, XP: 20
basicrabbitsandwichitem - Farming Level: 0, XP: 20
sweetberrymuffinitem - Farming Level: 0, XP: 20
fishnoodlesoupitem - Farming Level: 0, XP: 20
glowberrypieitem - Farming Level: 0, XP: 20
carrotdonutitem - Farming Level: 0, XP: 20
pumpkinmuffinitem - Farming Level: 0, XP: 20
vegetablenoodlesoupitem - Farming Level: 0, XP: 20
glowberryyogurtitem - Farming Level: 0, XP: 20
glowberryjellyitem - Farming Level: 0, XP: 20
melonyogurtitem - Farming Level: 0, XP: 20
chickennoodlesoupitem - Farming Level: 0, XP: 20
sweetberrypieitem - Farming Level: 0, XP: 20
sweetberrysmoothieitem - Farming Level: 0, XP: 20
pumpkincheesecakeitem - Farming Level: 0, XP: 20
fishjerkyitem - Farming Level: 0, XP: 20
jellybeansitem - Farming Level: 0, XP: 20
carrotmuffinitem - Farming Level: 0, XP: 20
sweetberrypopsicleitem - Farming Level: 0, XP: 20
melonjuiceitem - Farming Level: 0, XP: 20
beefjerkyitem - Farming Level: 0, XP: 20
pumpkinbreaditem - Farming Level: 0, XP: 20
glazedcarrotsitem - Farming Level: 0, XP: 20
rabbitjerkyitem - Farming Level: 0, XP: 20
melonsmoothieitem - Farming Level: 0, XP: 20
grilledchickenskeweritem - Farming Level: 0, XP: 20
melonmuffinitem - Farming Level: 0, XP: 20
mashedpotatoesitem - Farming Level: 0, XP: 20
rabbitnoodlesoupitem - Farming Level: 0, XP: 20
cookedgroundchickenitem - Farming Level: 0, XP: 20
pumpkindonutitem - Farming Level: 0, XP: 20
basicchickensandwichitem - Farming Level: 0, XP: 20
carrotcakeitem - Farming Level: 0, XP: 20
