Tech implementation started at 2025-03-08 08:18:10
Processing xycraft_machines (Category: high-tech)
resin_block - Tech Level: 260
scanner - Tech Level: 200
slag - Tech Level: 200
soaryn_box - Tech Level: 200
stake - Tech Level: 200
steel - Tech Level: 260
sulfur - Tech Level: 200
tablet - Tech Level: 200
valve - Tech Level: 200
void_container - Tech Level: 200
water_block - Tech Level: 260
whey - Tech Level: 200
Processing xycraft_core (Category: high-tech)
Processing aeinfinitybooster (Category: high-tech)
dimension_card - Tech Level: 350
infinity_card - Tech Level: 350
Processing dimstorage (Category: mid-tech)
dimensional_chest - Tech Level: 100
dimensional_tank - Tech Level: 100
dim_core - Tech Level: 100
dimensional_chest - Tech Level: 100
dimensional_tablet - Tech Level: 100
dimensional_tank - Tech Level: 100
solid_dim_core - Tech Level: 100
Processing industrialforegoingsouls (Category: high-tech)
soul_laser_base - Tech Level: 200
soul_network_pipe - Tech Level: 200
soul_surge - Tech Level: 200
soul_laser_base - Tech Level: 200
soul_network_pipe - Tech Level: 200
soul_surge - Tech Level: 200
Processing modular_machinery_reborn_mekanism (Category: high-tech)
chemicalinputhatch_big - Tech Level: 200
chemicalinputhatch_huge - Tech Level: 200
chemicalinputhatch_ludicrous - Tech Level: 200
chemicalinputhatch_normal - Tech Level: 260
chemicalinputhatch_reinforced - Tech Level: 320
chemicalinputhatch_small - Tech Level: 200
chemicalinputhatch_tiny - Tech Level: 260
chemicalinputhatch_vacuum - Tech Level: 200
chemicaloutputhatch_big - Tech Level: 200
chemicaloutputhatch_huge - Tech Level: 200
chemicaloutputhatch_ludicrous - Tech Level: 200
chemicaloutputhatch_normal - Tech Level: 260
chemicaloutputhatch_reinforced - Tech Level: 320
chemicaloutputhatch_small - Tech Level: 200
chemicaloutputhatch_tiny - Tech Level: 260
chemicaloutputhatch_vacuum - Tech Level: 200
chemicalinputhatch_big - Tech Level: 200
chemicalinputhatch_huge - Tech Level: 200
chemicalinputhatch_ludicrous - Tech Level: 200
chemicalinputhatch_normal - Tech Level: 260
chemicalinputhatch_reinforced - Tech Level: 320
chemicalinputhatch_small - Tech Level: 200
chemicalinputhatch_tiny - Tech Level: 260
chemicalinputhatch_vacuum - Tech Level: 200
chemicaloutputhatch_big - Tech Level: 200
chemicaloutputhatch_huge - Tech Level: 200
chemicaloutputhatch_ludicrous - Tech Level: 200
chemicaloutputhatch_normal - Tech Level: 260
chemicaloutputhatch_reinforced - Tech Level: 320
chemicaloutputhatch_small - Tech Level: 200
chemicaloutputhatch_tiny - Tech Level: 260
chemicaloutputhatch_vacuum - Tech Level: 200
Processing hostilenetworks (Category: high-tech)
loot_fabricator - Tech Level: 200
sim_chamber - Tech Level: 200
blank_data_model - Tech Level: 200
data_model - Tech Level: 200
deep_learner - Tech Level: 200
end_prediction - Tech Level: 200
loot_fabricator - Tech Level: 200
nether_prediction - Tech Level: 200
overworld_prediction - Tech Level: 200
prediction_matrix - Tech Level: 200
prediction - Tech Level: 200
sim_chamber - Tech Level: 200
Processing rftoolsbuilder (Category: high-tech)
blue_shield_template_block - Tech Level: 260
builder - Tech Level: 200
green_shield_template_block - Tech Level: 260
invisible_mover - Tech Level: 200
mover_control - Tech Level: 200
mover_control2 - Tech Level: 200
mover_control3 - Tech Level: 200
mover_control4 - Tech Level: 200
mover_controller - Tech Level: 200
mover_status - Tech Level: 200
mover - Tech Level: 200
red_shield_template_block - Tech Level: 260
shield_block1 - Tech Level: 260
shield_block2 - Tech Level: 260
shield_block3 - Tech Level: 260
shield_block4 - Tech Level: 260
shielding_cutout - Tech Level: 200
shielding_solid - Tech Level: 200
shielding_translucent - Tech Level: 200
space_chamber_controller - Tech Level: 200
space_chamber - Tech Level: 200
support_block - Tech Level: 260
vehicle_builder - Tech Level: 200
yellow_shield_template_block - Tech Level: 260
blue_shield_template_block - Tech Level: 260
builder - Tech Level: 200
green_shield_template_block - Tech Level: 260
mover_control - Tech Level: 200
mover_control2 - Tech Level: 200
mover_control3 - Tech Level: 200
mover_control4 - Tech Level: 200
mover_controller - Tech Level: 200
mover_status - Tech Level: 200
mover - Tech Level: 200
red_shield_template_block - Tech Level: 260
shape_card_def - Tech Level: 200
shape_card_liquid - Tech Level: 200
shape_card_pump_clear - Tech Level: 200
shape_card_pump - Tech Level: 200
shape_card_quarry_clear_fortune - Tech Level: 200
shape_card_quarry_clear_silk - Tech Level: 200
shape_card_quarry_clear - Tech Level: 200
shape_card_quarry_fortune - Tech Level: 200
shape_card_quarry_silk - Tech Level: 200
shape_card_quarry - Tech Level: 200
shape_card_void - Tech Level: 200
shield_block1 - Tech Level: 260
shield_block2 - Tech Level: 260
shield_block3 - Tech Level: 260
shield_block4 - Tech Level: 260
space_chamber_card - Tech Level: 200
space_chamber_controller - Tech Level: 200
space_chamber - Tech Level: 200
superharvestingtool - Tech Level: 260
vehicle_builder - Tech Level: 200
vehicle_card - Tech Level: 200
vehicle_control_module - Tech Level: 200
vehicle_status_module - Tech Level: 200
yellow_shield_template_block - Tech Level: 260
Processing ftbfiltersystem (Category: high-tech)
smart_filter - Tech Level: 200
Processing mekanismcovers (Category: high-tech)
cover - Tech Level: 200
empty_cover - Tech Level: 200
Processing mekanismtools (Category: high-tech)
bronze_axe - Tech Level: 260
bronze_boots - Tech Level: 260
bronze_chestplate - Tech Level: 260
bronze_helmet - Tech Level: 260
bronze_hoe - Tech Level: 260
bronze_leggings - Tech Level: 260
bronze_paxel - Tech Level: 260
bronze_pickaxe - Tech Level: 260
bronze_shield - Tech Level: 260
bronze_shovel - Tech Level: 260
bronze_sword - Tech Level: 260
diamond_paxel - Tech Level: 380
gold_paxel - Tech Level: 320
iron_paxel - Tech Level: 260
lapis_lazuli_axe - Tech Level: 260
lapis_lazuli_boots - Tech Level: 260
lapis_lazuli_chestplate - Tech Level: 260
lapis_lazuli_helmet - Tech Level: 260
lapis_lazuli_hoe - Tech Level: 260
lapis_lazuli_leggings - Tech Level: 260
lapis_lazuli_paxel - Tech Level: 260
lapis_lazuli_pickaxe - Tech Level: 260
lapis_lazuli_shield - Tech Level: 260
lapis_lazuli_shovel - Tech Level: 260
lapis_lazuli_sword - Tech Level: 260
netherite_paxel - Tech Level: 440
osmium_axe - Tech Level: 200
osmium_boots - Tech Level: 200
osmium_chestplate - Tech Level: 200
osmium_helmet - Tech Level: 200
osmium_hoe - Tech Level: 200
osmium_leggings - Tech Level: 200
osmium_paxel - Tech Level: 200
osmium_pickaxe - Tech Level: 200
osmium_shield - Tech Level: 200
osmium_shovel - Tech Level: 200
osmium_sword - Tech Level: 200
refined_obsidian_axe - Tech Level: 380
refined_obsidian_boots - Tech Level: 380
refined_obsidian_chestplate - Tech Level: 380
refined_obsidian_helmet - Tech Level: 380
refined_obsidian_hoe - Tech Level: 380
refined_obsidian_leggings - Tech Level: 380
refined_obsidian_paxel - Tech Level: 380
refined_obsidian_pickaxe - Tech Level: 380
refined_obsidian_shield - Tech Level: 380
refined_obsidian_shovel - Tech Level: 380
refined_obsidian_sword - Tech Level: 380
steel_axe - Tech Level: 260
steel_boots - Tech Level: 260
steel_chestplate - Tech Level: 260
steel_helmet - Tech Level: 260
steel_hoe - Tech Level: 260
steel_leggings - Tech Level: 260
steel_paxel - Tech Level: 260
steel_pickaxe - Tech Level: 260
steel_shield - Tech Level: 260
steel_shovel - Tech Level: 260
steel_sword - Tech Level: 260
Processing xnet (Category: mid-high-tech)
advanced_connector - Tech Level: 300
antenna_base - Tech Level: 150
antenna - Tech Level: 150
connector - Tech Level: 150
controller - Tech Level: 150
facade - Tech Level: 150
netcable - Tech Level: 150
router - Tech Level: 150
wireless_router - Tech Level: 150
advanced_connector_blue - Tech Level: 300
advanced_connector_green - Tech Level: 300
advanced_connector_red - Tech Level: 300
advanced_connector_routing - Tech Level: 300
advanced_connector_yellow - Tech Level: 300
antenna_base - Tech Level: 150
antenna - Tech Level: 150
connector_blue - Tech Level: 150
connector_green - Tech Level: 150
connector_red - Tech Level: 150
connector_routing - Tech Level: 200
connector_upgrade - Tech Level: 150
connector_yellow - Tech Level: 150
controller - Tech Level: 150
facade - Tech Level: 150
netcable_blue - Tech Level: 150
netcable_green - Tech Level: 150
netcable_red - Tech Level: 150
netcable_routing - Tech Level: 200
netcable_yellow - Tech Level: 150
router - Tech Level: 150
wireless_router - Tech Level: 150
Processing modern_industrialization (Category: high-tech)
acetylene - Tech Level: 200
acrylic_acid - Tech Level: 200
acrylic_glue - Tech Level: 200
advanced_fluid_input_hatch - Tech Level: 380
advanced_fluid_output_hatch - Tech Level: 380
advanced_item_input_hatch - Tech Level: 380
advanced_item_output_hatch - Tech Level: 380
advanced_large_steam_boiler - Tech Level: 380
advanced_machine_casing - Tech Level: 380
advanced_machine_hull - Tech Level: 380
aluminum_barrel - Tech Level: 200
aluminum_block - Tech Level: 260
aluminum_tank - Tech Level: 200
annealed_copper_block - Tech Level: 260
antimony_block - Tech Level: 260
argon - Tech Level: 200
assembler - Tech Level: 200
basic_machine_hull - Tech Level: 320
battery_alloy_block - Tech Level: 260
bauxite_block - Tech Level: 260
benzene - Tech Level: 200
beryllium_block - Tech Level: 260
biodiesel - Tech Level: 200
blastproof_casing - Tech Level: 200
boosted_diesel - Tech Level: 200
bronze_barrel - Tech Level: 260
bronze_block - Tech Level: 260
bronze_boiler - Tech Level: 260
bronze_compressor - Tech Level: 260
bronze_cutting_machine - Tech Level: 320
bronze_fluid_input_hatch - Tech Level: 260
bronze_fluid_output_hatch - Tech Level: 260
bronze_furnace - Tech Level: 260
bronze_item_input_hatch - Tech Level: 260
bronze_item_output_hatch - Tech Level: 260
bronze_macerator - Tech Level: 260
bronze_machine_casing_pipe - Tech Level: 320
bronze_machine_casing - Tech Level: 320
bronze_mixer - Tech Level: 260
bronze_tank - Tech Level: 260
bronze_water_pump - Tech Level: 260
butadiene - Tech Level: 200
caprolactam - Tech Level: 200
centrifuge - Tech Level: 200
chemical_reactor - Tech Level: 200
chlorine - Tech Level: 200
chromium_block - Tech Level: 260
chromium_hydrochloric_solution - Tech Level: 200
clean_stainless_steel_machine_casing - Tech Level: 320
coke_block - Tech Level: 260
coke_oven - Tech Level: 200
configurable_chest - Tech Level: 200
configurable_tank - Tech Level: 200
creative_barrel - Tech Level: 500
creative_storage_unit - Tech Level: 500
creative_tank - Tech Level: 500
creosote - Tech Level: 200
crude_oil - Tech Level: 200
cryofluid - Tech Level: 200
cupronickel_block - Tech Level: 260
cupronickel_coil - Tech Level: 200
deuterium - Tech Level: 200
diesel - Tech Level: 200
diethyl_ether - Tech Level: 200
distillation_tower - Tech Level: 200
distillery - Tech Level: 200
electric_blast_furnace - Tech Level: 200
electric_compressor - Tech Level: 200
electric_cutting_machine - Tech Level: 320
electric_furnace - Tech Level: 200
electric_macerator - Tech Level: 200
electric_mixer - Tech Level: 200
electric_packer - Tech Level: 200
electric_quarry - Tech Level: 200
electric_unpacker - Tech Level: 200
electric_water_pump - Tech Level: 200
electric_wiremill - Tech Level: 200
electrolyzer - Tech Level: 200
electrum_block - Tech Level: 260
ethanol - Tech Level: 200
ethylbenzene - Tech Level: 200
ethylene - Tech Level: 200
ev_energy_input_hatch - Tech Level: 200
ev_energy_output_hatch - Tech Level: 200
ev_hv_transformer - Tech Level: 200
ev_storage_unit - Tech Level: 200
ev_superconductor_transformer - Tech Level: 200
forge_hammer - Tech Level: 200
frostproof_machine_casing - Tech Level: 320
fusion_chamber - Tech Level: 200
fusion_reactor - Tech Level: 200
he_mox_block - Tech Level: 260
he_uranium_block - Tech Level: 260
heat_exchanger - Tech Level: 200
heatproof_machine_casing - Tech Level: 320
heavy_fuel - Tech Level: 200
heavy_water_steam - Tech Level: 200
heavy_water - Tech Level: 200
helium_3 - Tech Level: 200
helium_plasma - Tech Level: 200
helium - Tech Level: 200
high_pressure_advanced_large_steam_boiler - Tech Level: 380
high_pressure_heavy_water_steam - Tech Level: 200
high_pressure_heavy_water - Tech Level: 200
high_pressure_large_steam_boiler - Tech Level: 200
high_pressure_steam - Tech Level: 200
high_pressure_water - Tech Level: 200
highly_advanced_fluid_input_hatch - Tech Level: 380
highly_advanced_fluid_output_hatch - Tech Level: 380
highly_advanced_item_input_hatch - Tech Level: 380
highly_advanced_item_output_hatch - Tech Level: 380
highly_advanced_machine_casing - Tech Level: 380
highly_advanced_machine_hull - Tech Level: 380
hv_diesel_generator - Tech Level: 200
hv_energy_input_hatch - Tech Level: 200
hv_energy_output_hatch - Tech Level: 200
hv_ev_transformer - Tech Level: 200
hv_mv_transformer - Tech Level: 200
hv_steam_turbine - Tech Level: 200
hv_storage_unit - Tech Level: 200
hydrochloric_acid - Tech Level: 200
hydrogen - Tech Level: 200
implosion_compressor - Tech Level: 200
invar_block - Tech Level: 260
iridium_block - Tech Level: 260
iridium_machine_casing_pipe - Tech Level: 320
iron_barrel - Tech Level: 260
iron_tank - Tech Level: 260
kanthal_block - Tech Level: 260
kanthal_coil - Tech Level: 200
large_diesel_generator - Tech Level: 200
large_steam_boiler - Tech Level: 200
large_steam_turbine - Tech Level: 200
large_tank_hatch - Tech Level: 200
large_tank - Tech Level: 200
le_mox_block - Tech Level: 260
le_uranium_block - Tech Level: 260
lead_block - Tech Level: 260
lignite_coal_block - Tech Level: 260
liquid_air - Tech Level: 200
lubricant - Tech Level: 200
lv_diesel_generator - Tech Level: 200
lv_energy_input_hatch - Tech Level: 200
lv_energy_output_hatch - Tech Level: 200
lv_mv_transformer - Tech Level: 200
lv_steam_turbine - Tech Level: 200
lv_storage_unit - Tech Level: 200
manganese_sulfuric_solution - Tech Level: 200
methane - Tech Level: 200
monazite_block - Tech Level: 260
mv_diesel_generator - Tech Level: 200
mv_energy_input_hatch - Tech Level: 200
mv_energy_output_hatch - Tech Level: 200
mv_hv_transformer - Tech Level: 200
mv_lv_transformer - Tech Level: 200
mv_steam_turbine - Tech Level: 200
mv_storage_unit - Tech Level: 200
naphtha - Tech Level: 200
neodymium_block - Tech Level: 260
nickel_block - Tech Level: 260
nitrogen - Tech Level: 200
nuclear_alloy_machine_casing_pipe - Tech Level: 320
nuclear_casing - Tech Level: 200
nuclear_fluid_hatch - Tech Level: 200
nuclear_item_hatch - Tech Level: 200
nuclear_reactor - Tech Level: 200
nuke - Tech Level: 200
nylon - Tech Level: 200
oil_drilling_rig - Tech Level: 200
oxygen - Tech Level: 200
pipe - Tech Level: 200
plant_oil - Tech Level: 200
plasma_handling_iridium_machine_casing - Tech Level: 320
plasma_turbine - Tech Level: 200
platinum_block - Tech Level: 260
platinum_sulfuric_solution - Tech Level: 260
plutonium_block - Tech Level: 260
polarizer - Tech Level: 200
polyethylene - Tech Level: 200
polyvinyl_chloride - Tech Level: 200
pressurizer - Tech Level: 200
propene - Tech Level: 200
purified_platinum_sulfuric_solution - Tech Level: 260
quantum_barrel - Tech Level: 500
quantum_machine_casing - Tech Level: 500
quantum_machine_hull - Tech Level: 500
quantum_tank - Tech Level: 500
replicator - Tech Level: 200
salt_block - Tech Level: 260
shale_oil - Tech Level: 200
silicon_block - Tech Level: 260
silver_block - Tech Level: 320
sodium_block - Tech Level: 260
sodium_hydroxide - Tech Level: 200
soldering_alloy_block - Tech Level: 260
soldering_alloy - Tech Level: 200
solid_titanium_machine_casing - Tech Level: 320
stainless_steel_barrel - Tech Level: 260
stainless_steel_block - Tech Level: 260
stainless_steel_machine_casing_pipe - Tech Level: 320
stainless_steel_tank - Tech Level: 260
steam_blast_furnace - Tech Level: 200
steam_cracked_heavy_fuel - Tech Level: 200
steam_cracked_naphtha - Tech Level: 200
steam_quarry - Tech Level: 200
steam - Tech Level: 200
steel_barrel - Tech Level: 260
steel_block - Tech Level: 260
steel_boiler - Tech Level: 260
steel_compressor - Tech Level: 260
steel_cutting_machine - Tech Level: 320
steel_fluid_input_hatch - Tech Level: 260
steel_fluid_output_hatch - Tech Level: 260
steel_furnace - Tech Level: 260
steel_item_input_hatch - Tech Level: 260
steel_item_output_hatch - Tech Level: 260
steel_macerator - Tech Level: 260
steel_machine_casing_pipe - Tech Level: 320
steel_machine_casing - Tech Level: 320
steel_mixer - Tech Level: 260
steel_packer - Tech Level: 260
steel_tank - Tech Level: 260
steel_unpacker - Tech Level: 260
steel_water_pump - Tech Level: 260
steel_wiremill - Tech Level: 260
styrene_butadiene_rubber - Tech Level: 200
styrene_butadiene - Tech Level: 200
styrene - Tech Level: 200
sugar_solution - Tech Level: 200
sulfur_block - Tech Level: 260
sulfuric_acid - Tech Level: 200
sulfuric_crude_oil - Tech Level: 200
sulfuric_heavy_fuel - Tech Level: 200
sulfuric_naphtha - Tech Level: 200
superconductor_coil - Tech Level: 200
superconductor_energy_input_hatch - Tech Level: 200
superconductor_energy_output_hatch - Tech Level: 200
superconductor_ev_transformer - Tech Level: 200
superconductor_storage_unit - Tech Level: 200
synthetic_oil - Tech Level: 200
synthetic_rubber - Tech Level: 200
tin_block - Tech Level: 260
titanium_barrel - Tech Level: 200
titanium_block - Tech Level: 260
titanium_machine_casing_pipe - Tech Level: 320
titanium_tank - Tech Level: 200
toluene - Tech Level: 200
trash_can - Tech Level: 200
tritium - Tech Level: 200
tungsten_block - Tech Level: 260
turbo_fluid_input_hatch - Tech Level: 200
turbo_fluid_output_hatch - Tech Level: 200
turbo_item_input_hatch - Tech Level: 200
turbo_item_output_hatch - Tech Level: 200
turbo_machine_casing - Tech Level: 320
turbo_machine_hull - Tech Level: 320
uranium_235_block - Tech Level: 260
uranium_238_block - Tech Level: 260
uranium_block - Tech Level: 260
uu_matter - Tech Level: 200
vacuum_freezer - Tech Level: 200
vinyl_chloride - Tech Level: 200
yttrium_block - Tech Level: 260
acetylene_bucket - Tech Level: 200
acrylic_acid_bucket - Tech Level: 200
acrylic_glue_bucket - Tech Level: 200
advanced_fluid_input_hatch - Tech Level: 380
advanced_fluid_output_hatch - Tech Level: 380
advanced_item_input_hatch - Tech Level: 380
advanced_item_output_hatch - Tech Level: 380
advanced_large_steam_boiler - Tech Level: 380
advanced_machine_casing - Tech Level: 380
advanced_machine_hull - Tech Level: 380
advanced_motor - Tech Level: 380
advanced_pump - Tech Level: 380
advanced_upgrade - Tech Level: 380
air_intake - Tech Level: 200
aluminum_barrel - Tech Level: 200
aluminum_blade - Tech Level: 200
aluminum_block - Tech Level: 260
aluminum_bolt - Tech Level: 200
aluminum_cable - Tech Level: 200
aluminum_curved_plate - Tech Level: 200
aluminum_drill_head - Tech Level: 200
aluminum_drill - Tech Level: 200
aluminum_gear - Tech Level: 200
aluminum_large_plate - Tech Level: 200
aluminum_plate - Tech Level: 200
aluminum_ring - Tech Level: 200
aluminum_rod - Tech Level: 200
aluminum_rotor - Tech Level: 200
aluminum_tank - Tech Level: 200
aluminum_wire - Tech Level: 200
analog_circuit_board - Tech Level: 200
analog_circuit - Tech Level: 200
annealed_copper_block - Tech Level: 260
annealed_copper_cable - Tech Level: 200
annealed_copper_plate - Tech Level: 200
annealed_copper_wire - Tech Level: 200
antimony_block - Tech Level: 260
argon_bucket - Tech Level: 200
assembler - Tech Level: 200
basic_machine_hull - Tech Level: 320
basic_upgrade - Tech Level: 200
battery_alloy_block - Tech Level: 260
battery_alloy_curved_plate - Tech Level: 200
battery_alloy_double_ingot - Tech Level: 200
battery_alloy_dust - Tech Level: 200
battery_alloy_ingot - Tech Level: 200
battery_alloy_nugget - Tech Level: 200
battery_alloy_plate - Tech Level: 200
battery_alloy_tiny_dust - Tech Level: 260
bauxite_block - Tech Level: 260
benzene_bucket - Tech Level: 200
beryllium_block - Tech Level: 260
beryllium_plate - Tech Level: 200
biodiesel_bucket - Tech Level: 200
black_fluid_pipe - Tech Level: 200
black_item_pipe - Tech Level: 200
black_me_wire - Tech Level: 200
blastproof_alloy_curved_plate - Tech Level: 200
blastproof_alloy_large_plate - Tech Level: 200
blastproof_alloy_plate - Tech Level: 200
blastproof_casing - Tech Level: 200
blue_fluid_pipe - Tech Level: 200
blue_item_pipe - Tech Level: 200
blue_me_wire - Tech Level: 200
boosted_diesel_bucket - Tech Level: 200
bronze_barrel - Tech Level: 260
bronze_blade - Tech Level: 260
bronze_block - Tech Level: 260
bronze_boiler - Tech Level: 260
bronze_bolt - Tech Level: 260
bronze_compressor - Tech Level: 260
bronze_curved_plate - Tech Level: 260
bronze_cutting_machine - Tech Level: 320
bronze_drill_head - Tech Level: 260
bronze_drill - Tech Level: 260
bronze_fluid_input_hatch - Tech Level: 260
bronze_fluid_output_hatch - Tech Level: 260
bronze_furnace - Tech Level: 260
bronze_gear - Tech Level: 260
bronze_item_input_hatch - Tech Level: 260
bronze_item_output_hatch - Tech Level: 260
bronze_macerator - Tech Level: 260
bronze_machine_casing_pipe - Tech Level: 320
bronze_machine_casing - Tech Level: 320
bronze_mixer - Tech Level: 260
bronze_plate - Tech Level: 260
bronze_ring - Tech Level: 260
bronze_rod - Tech Level: 260
bronze_rotor - Tech Level: 260
bronze_tank - Tech Level: 260
bronze_water_pump - Tech Level: 260
brown_fluid_pipe - Tech Level: 200
brown_item_pipe - Tech Level: 200
brown_me_wire - Tech Level: 200
butadiene_bucket - Tech Level: 200
cadmium_battery - Tech Level: 200
cadmium_control_rod - Tech Level: 200
cadmium_plate - Tech Level: 200
cadmium_rod - Tech Level: 200
capacitor - Tech Level: 200
caprolactam_bucket - Tech Level: 200
carbon_large_plate - Tech Level: 200
carbon_plate - Tech Level: 200
centrifuge - Tech Level: 200
chemical_reactor - Tech Level: 200
chlorine_bucket - Tech Level: 200
chromium_block - Tech Level: 260
chromium_hydrochloric_solution_bucket - Tech Level: 200
chromium_plate - Tech Level: 200
clean_stainless_steel_machine_casing - Tech Level: 320
coke_block - Tech Level: 260
coke_oven - Tech Level: 200
coke - Tech Level: 200
config_card - Tech Level: 200
configurable_chest - Tech Level: 200
configurable_tank - Tech Level: 200
conveyor - Tech Level: 200
cooling_cell - Tech Level: 200
copper_blade - Tech Level: 200
copper_bolt - Tech Level: 200
copper_cable - Tech Level: 200
copper_curved_plate - Tech Level: 200
copper_drill_head - Tech Level: 200
copper_drill - Tech Level: 200
copper_fine_wire - Tech Level: 200
copper_gear - Tech Level: 200
copper_plate - Tech Level: 200
copper_ring - Tech Level: 200
copper_rod - Tech Level: 200
copper_rotor - Tech Level: 200
copper_wire - Tech Level: 200
creative_barrel - Tech Level: 500
creative_storage_unit - Tech Level: 500
creative_tank - Tech Level: 500
creosote_bucket - Tech Level: 200
crude_oil_bucket - Tech Level: 200
cryofluid_bucket - Tech Level: 200
cupronickel_block - Tech Level: 260
cupronickel_cable - Tech Level: 200
cupronickel_coil - Tech Level: 200
cupronickel_plate - Tech Level: 200
cupronickel_wire_magnetic - Tech Level: 200
cupronickel_wire - Tech Level: 200
cyan_fluid_pipe - Tech Level: 200
cyan_item_pipe - Tech Level: 200
cyan_me_wire - Tech Level: 200
deuterium_bucket - Tech Level: 200
diamond_hammer - Tech Level: 380
diamond_large_plate - Tech Level: 380
diamond_plate - Tech Level: 380
diesel_bucket - Tech Level: 200
diesel_chainsaw - Tech Level: 200
diesel_jetpack - Tech Level: 200
diesel_mining_drill - Tech Level: 200
diethyl_ether_bucket - Tech Level: 200
digital_circuit_board - Tech Level: 200
digital_circuit - Tech Level: 200
diode - Tech Level: 200
distillation_tower - Tech Level: 200
distillery - Tech Level: 200
electric_blast_furnace - Tech Level: 200
electric_compressor - Tech Level: 200
electric_cutting_machine - Tech Level: 320
electric_furnace - Tech Level: 200
electric_macerator - Tech Level: 200
electric_mixer - Tech Level: 200
electric_packer - Tech Level: 200
electric_quarry - Tech Level: 200
electric_unpacker - Tech Level: 200
electric_water_pump - Tech Level: 200
electric_wiremill - Tech Level: 200
electrolyzer - Tech Level: 200
electronic_circuit_board - Tech Level: 200
electronic_circuit - Tech Level: 200
electrum_block - Tech Level: 260
electrum_cable - Tech Level: 200
electrum_fine_wire - Tech Level: 200
electrum_plate - Tech Level: 200
electrum_wire - Tech Level: 200
emerald_plate - Tech Level: 380
energy_p2p_tunnel - Tech Level: 200
ethanol_bucket - Tech Level: 200
ethylbenzene_bucket - Tech Level: 200
ethylene_bucket - Tech Level: 200
ev_energy_input_hatch - Tech Level: 200
ev_energy_output_hatch - Tech Level: 200
ev_hv_transformer - Tech Level: 200
ev_storage_unit - Tech Level: 200
ev_superconductor_transformer - Tech Level: 200
fluid_pipe - Tech Level: 200
forge_hammer - Tech Level: 200
frostproof_machine_casing - Tech Level: 320
fusion_chamber - Tech Level: 200
fusion_reactor - Tech Level: 200
gold_bolt - Tech Level: 320
gold_curved_plate - Tech Level: 320
gold_drill_head - Tech Level: 320
gold_drill - Tech Level: 320
